feature,mean_abs_shap
num__DECK_COND_058,3.6830025
num__bridge_age,0.68386704
num__PERCENT_ADT_TRUCK_109,0.55554676
num__OPERATING_RATING_064,0.41039962
cat__DECK_PROTECTION_108C_0,0.38050118
num__ROADWAY_WIDTH_MT_051,0.26497582
num__ADT_029,0.22497341
num__DECK_WIDTH_MT_052,0.21039106
num__HORR_CLR_MT_047,0.2006065
num__INVENTORY_RATING_066,0.1904572
num__SUPERSTRUCTURE_COND_059,0.17435572
num__DECK_AREA,0.1665985
cat__STRUCTURE_TYPE_043B_4,0.111659914
cat__SCOUR_CRITICAL_113_8,0.11018554
num__STRUCTURE_LEN_MT_049,0.10367802
num__MAX_SPAN_LEN_MT_048,0.0992443
num__SUBSTRUCTURE_COND_060,0.09680542
cat__DECK_STRUCTURE_TYPE_107_1,0.082737446
cat__STRUCTURE_TYPE_043B_2,0.079034284
cat__STRUCTURE_KIND_043A_3,0.073928446
cat__STRUCTURE_KIND_043A_2,0.07136455
cat__SURFACE_TYPE_108A_6,0.067676246
cat__SURFACE_TYPE_108A_2,0.05937508
num__TRAFFIC_LANES_ON_028A,0.05557466
num__MAIN_UNIT_SPANS_045,0.053720318
cat__WATERWAY_EVAL_071_9,0.049654756
cat__FUNCTIONAL_CLASS_026_9,0.048712317
cat__FUNCTIONAL_CLASS_026_7,0.04687343
cat__WATERWAY_EVAL_071_7,0.037305973
cat__WATERWAY_EVAL_071_8,0.033049107
cat__SURFACE_TYPE_108A_7,0.032408677
cat__SCOUR_CRITICAL_113_5,0.028488267
cat__SURFACE_TYPE_108A_1,0.02752116
cat__STRUCTURE_KIND_043A_1,0.025214856
cat__HIGHWAY_SYSTEM_104_0,0.024931466
cat__STRUCTURE_TYPE_043B_11,0.023438152
cat__STRUCTURE_KIND_043A_4,0.023227915
cat__SCOUR_CRITICAL_113_N,0.021035273
cat__SCOUR_CRITICAL_113_7,0.020919796
num__VERT_CLR_OVER_MT_053,0.016170176
cat__WATERWAY_EVAL_071_6,0.015769139
cat__DECK_STRUCTURE_TYPE_107_2,0.01524398
cat__SCOUR_CRITICAL_113_4,0.013828614
cat__WATERWAY_EVAL_071_N,0.013498359
cat__OPEN_CLOSED_POSTED_041_A,0.012974049
cat__DECK_STRUCTURE_TYPE_107_3,0.0124917915
cat__SURFACE_TYPE_108A_0,0.01122759
cat__FUNCTIONAL_CLASS_026_16,0.008980665
cat__DECK_STRUCTURE_TYPE_107_8,0.00849536
cat__FUNCTIONAL_CLASS_026_1,0.0077514104
cat__STRUCTURE_TYPE_043B_19,0.0072125997
cat__DECK_STRUCTURE_TYPE_107_9,0.0069344435
cat__FUNCTIONAL_CLASS_026_2,0.0062495405
cat__FUNCTIONAL_CLASS_026_19,0.0056630564
cat__DECK_STRUCTURE_TYPE_107_5,0.0053419955
cat__SURFACE_TYPE_108A_3,0.00529467
cat__FUNCTIONAL_CLASS_026_8,0.005290347
cat__STRUCTURE_TYPE_043B_1,0.0049373014
cat__STRUCTURE_TYPE_043B_7,0.004286802
cat__STRUCTURE_TYPE_043B_3,0.0033626994
cat__SCOUR_CRITICAL_113_3,0.003306514
cat__FUNCTIONAL_CLASS_026_6,0.0031368162
cat__FUNCTIONAL_CLASS_026_14,0.003080094
cat__FUNCTIONAL_CLASS_026_11,0.0030056029
cat__OPEN_CLOSED_POSTED_041_P,0.0029466709
cat__OPEN_CLOSED_POSTED_041_R,0.0026230665
cat__SURFACE_TYPE_108A_4,0.0024944132
cat__STRUCTURE_TYPE_043B_10,0.0024643946
cat__SURFACE_TYPE_108A_8,0.0020669168
cat__STRUCTURE_KIND_043A_6,0.0020224096
cat__DECK_STRUCTURE_TYPE_107_6,0.0019528028
cat__FUNCTIONAL_CLASS_026_17,0.0019470518
cat__FUNCTIONAL_CLASS_026_12,0.0018844169
cat__STRUCTURE_TYPE_043B_12,0.0014031734
cat__STRUCTURE_KIND_043A_7,0.0011925118
cat__SURFACE_TYPE_108A_9,0.0011625158
cat__OPEN_CLOSED_POSTED_041_K,0.0009335716
cat__WATERWAY_EVAL_071_4,0.00091707835
cat__HIGHWAY_SYSTEM_104_1,0.00040759836
cat__WATERWAY_EVAL_071_2,0.00038140372
cat__DECK_PROTECTION_108C_8,0.0001355729
cat__STRUCTURE_TYPE_043B_5,0.0
cat__STRUCTURE_KIND_043A_5,0.0
cat__STRUCTURE_KIND_043A_0,0.0
cat__STRUCTURE_TYPE_043B_0,0.0
cat__STRUCTURE_TYPE_043B_9,0.0
cat__STRUCTURE_TYPE_043B_6,0.0
cat__STRUCTURE_TYPE_043B_13,0.0
cat__STRUCTURE_TYPE_043B_14,0.0
cat__SCOUR_CRITICAL_113_9,0.0
cat__SCOUR_CRITICAL_113_6,0.0
cat__STRUCTURE_TYPE_043B_16,0.0
cat__STRUCTURE_TYPE_043B_17,0.0
cat__STRUCTURE_TYPE_043B_21,0.0
cat__SCOUR_CRITICAL_113_0,0.0
cat__SCOUR_CRITICAL_113_1,0.0
cat__SCOUR_CRITICAL_113_2,0.0
cat__STRUCTURE_TYPE_043B_15,0.0
cat__STRUCTURE_KIND_043A_8,0.0
cat__STRUCTURE_KIND_043A_9,0.0
cat__WATERWAY_EVAL_071_5,0.0
cat__SCOUR_CRITICAL_113_T,0.0
cat__WATERWAY_EVAL_071_3,0.0
cat__SCOUR_CRITICAL_113_U,0.0
cat__WATERWAY_EVAL_071_0,0.0
cat__OPEN_CLOSED_POSTED_041_G,0.0
cat__OPEN_CLOSED_POSTED_041_E,0.0
cat__OPEN_CLOSED_POSTED_041_D,0.0
cat__OPEN_CLOSED_POSTED_041_B,0.0
cat__DECK_STRUCTURE_TYPE_107_7,0.0
cat__DECK_STRUCTURE_TYPE_107_N,0.0
cat__DECK_STRUCTURE_TYPE_107_4,0.0
cat__SURFACE_TYPE_108A_5,0.0
cat__SURFACE_TYPE_108A_N,0.0
cat__DECK_PROTECTION_108C_1,0.0
cat__DECK_PROTECTION_108C_3,0.0
cat__DECK_PROTECTION_108C_2,0.0
cat__DECK_PROTECTION_108C_6,0.0
cat__DECK_PROTECTION_108C_7,0.0
cat__DECK_PROTECTION_108C_9,0.0
cat__DECK_PROTECTION_108C_N,0.0
